"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3914","RT @nandust007: Shang-Chi
Character study https://t.co/a9NK5I1Ilm",FALSE,0,NA,2021-11-20 13:57:49,FALSE,NA,"1462057597469528075",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chickinsomniac",32,TRUE,FALSE,NA,NA
"3915","@NewsMarvelPL Shang-chi",FALSE,6,"NewsMarvelPL",2021-11-20 13:57:35,FALSE,"1462053370840199171","1462057538296422401","1396128652732026881","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","m1r5y91",0,FALSE,FALSE,NA,NA
"3916","SHANG-CHI IS A 1000/10",FALSE,0,NA,2021-11-20 13:57:29,FALSE,NA,"1462057511528316933",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","catij_ughh",0,FALSE,FALSE,NA,NA
"3917","Wszystkie są super ale Shang-chi &gt;&gt;&gt;&gt;&gt; https://t.co/HkJ5x0CgKs",FALSE,3,NA,2021-11-20 13:57:19,FALSE,NA,"1462057471464386563",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","__Lazy__Girl__",0,FALSE,FALSE,NA,NA
"3918","RT @captainuwu: Renjun said recently he watched Shang-Chi and he had fun watching it! He said it's good~
Renjun said ""Sorry (for the signal…",FALSE,0,NA,2021-11-20 13:57:19,FALSE,NA,"1462057469912367107",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","renchinbubu",62,TRUE,FALSE,NA,NA
"3919","Shang-Chi
Character study https://t.co/a9NK5I1Ilm",FALSE,80,NA,2021-11-20 13:56:42,FALSE,NA,"1462057316379885571",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nandust007",32,FALSE,FALSE,NA,NA
"3920","plmds, shang-chi e a lenda dos dez aneis é muito bom!!",FALSE,0,NA,2021-11-20 13:56:06,FALSE,NA,"1462057164344893443",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","d1rtymaria",0,FALSE,FALSE,NA,NA
"3921","i just finished watching shang-chi, and i don't know what i was expecting but it was 100× better EVERY BIT OF IT WAS TOO GOOD",FALSE,0,NA,2021-11-20 13:55:46,FALSE,NA,"1462057081029099521",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lttaegi",0,FALSE,FALSE,NA,NA
"3922","O ódio que eu tô sentindo de não ter assistido “Shang-Chi e a lenda dos Dez Anéis” no cinema.",FALSE,3,NA,2021-11-20 13:55:41,FALSE,NA,"1462057059894059013",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PimentelLeticia",0,FALSE,FALSE,NA,NA
"3923","RT @AlkorYoutube: Au final après avoir vu Shang-Chi et Eternals, j’arrive à une conclusion plutôt logique : Black Widow n’était clairement…",FALSE,0,NA,2021-11-20 13:55:37,FALSE,NA,"1462057044656238602",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Leking40",43,TRUE,FALSE,NA,NA
"3924","Marvel Studios en 2021:

WandaVision: 9/10
The Falcon &amp; TWS: 7/10
Loki: 8/10
Black Widow: 7/10
What If...?: 5/10
Sh… https://t.co/QCpVq8Lt4n",FALSE,1,NA,2021-11-20 13:55:17,TRUE,NA,"1462056959360778257",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cristellpumpkin",0,FALSE,FALSE,NA,NA
"3925","shang-chi https://t.co/9pDlBbTjNy",FALSE,1,NA,2021-11-20 13:53:57,FALSE,NA,"1462056622826663948",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","stqrkswidow",0,FALSE,FALSE,NA,NA
"3926","@NewsMarvelPL shang-chi",FALSE,1,"NewsMarvelPL",2021-11-20 13:53:45,FALSE,"1462053370840199171","1462056574705455107","1396128652732026881","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","xthevampirekx",0,FALSE,FALSE,NA,NA
"3927","@Mr_Yiisus @mubis_es ¡Hotias! ¡La de Shang-Chi que sale la semana que viene! ¿Entraba también en el Black Friday?",FALSE,0,"Mr_Yiisus",2021-11-20 13:53:35,FALSE,"1462044877718446092","1462056532464578561","53133450","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","juanjera",0,FALSE,FALSE,NA,NA
"3928","RT @comfortfbrie: brie larson in shang-chi  https://t.co/iD8UAD75tO",FALSE,0,NA,2021-11-20 13:53:34,FALSE,NA,"1462056527628484616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","icarwalIs",471,TRUE,FALSE,NA,NA
"3929","LEGO Marvel Shang-Chi Battle at The Ancient Village 76177 Building Kit (400 Pieces): Put epic adventures into a chi… https://t.co/VHihMH7Xlr",FALSE,0,NA,2021-11-20 13:53:05,TRUE,NA,"1462056407386058755",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","geekwarestore",0,FALSE,FALSE,NA,NA
"3930","LEGO Marvel Shang-Chi Escape from The Ten Rings 76176 Building Kit (321 Pieces): LEGO Marvel Shang-Chi Escape from… https://t.co/yYXOuelIhw",FALSE,0,NA,2021-11-20 13:53:03,TRUE,NA,"1462056398078951430",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","geekwarestore",0,FALSE,FALSE,NA,NA
"3931","Why is Bruce Banner Lying About Professor Hulk In Shang-Chi? #BruceBanner #comics #Hulk #Marvel https://t.co/oiZ4R4tG2r",FALSE,0,NA,2021-11-20 13:52:56,FALSE,NA,"1462056369847156746",NA,"<a href=""https://www.animatedtimes.com/"" rel=""nofollow"">AT Auto Tweet</a>","AnimatedTimes",0,FALSE,FALSE,NA,NA
"3932","shang-chi https://t.co/rdxVXutmOs",FALSE,32,NA,2021-11-20 13:52:35,FALSE,NA,"1462056278583300096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ilymaximoff",0,FALSE,FALSE,NA,NA
"3933","If you haven't already then do yourself a favour and watch Shang-Chi And The Legend Of The Ten Rings. Superb film!! 🔥🔥",FALSE,0,NA,2021-11-20 13:52:27,FALSE,NA,"1462056244546576393",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Chris_Newsam",0,FALSE,FALSE,NA,NA
"3934","RT @heroinadolixo: to revendo shang-chi e não supero ela de jeito nenhum https://t.co/mWYIkEIMZT",FALSE,0,NA,2021-11-20 13:51:54,FALSE,NA,"1462056107657072643",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kbajisluv",339,TRUE,FALSE,NA,NA
"3935","bw, shang-chi i wv https://t.co/DpwrOZ9Z1X",FALSE,1,NA,2021-11-20 13:51:38,FALSE,NA,"1462056040871211011",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cazestya",0,FALSE,FALSE,NA,NA
"3936","RT @StrangeSommer: TFW you have the EXACT same jacket as Katy in Shang-Chi. https://t.co/t6uMiT6XCG",FALSE,0,NA,2021-11-20 13:51:18,FALSE,NA,"1462055955709902860",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","ethanhuang13",3,TRUE,FALSE,NA,NA
"3937","Marvel Studios 2021:

Black Widow: 5/10
What If...?: 7/10
Shang-Chi: 8/10
Eternals: 8/10 https://t.co/s5Slv80eIy",FALSE,1,NA,2021-11-20 13:50:55,FALSE,NA,"1462055859119403012",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GotitaSenpai",0,FALSE,FALSE,NA,NA
"3938","Did anyone tell them to watch Shang-Chi? https://t.co/k8VrSz6trk",FALSE,2,NA,2021-11-20 13:50:21,FALSE,NA,"1462055719536979978",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dswizzle602",0,FALSE,FALSE,NA,NA
"3939","RT @alandubox: Shang-Chi definitivamente é um dos melhores filmes da Marvel. De LONGE.",FALSE,0,NA,2021-11-20 13:50:15,FALSE,NA,"1462055693226323973",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nubi4nPrince",39,TRUE,FALSE,NA,NA
"3940","@NewsMarvelPL eternals i tfatws ale nie oglądałam jeszcze shang-chi",FALSE,1,"NewsMarvelPL",2021-11-20 13:50:14,FALSE,"1462053370840199171","1462055687022911499","1396128652732026881","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","barneslovezone",0,FALSE,FALSE,NA,NA
"3941","RT @comfortfbrie: brie larson in shang-chi  https://t.co/iD8UAD75tO",FALSE,0,NA,2021-11-20 13:49:25,FALSE,NA,"1462055484052017154",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AwesomeEditsPr1",471,TRUE,FALSE,NA,NA
"3942","Just watched Shang-Chi and it is one of the best MCU films imo, fucking incredible movie.",FALSE,1,NA,2021-11-20 13:49:25,FALSE,NA,"1462055481871118348",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","StephanieAwes0m",0,FALSE,FALSE,NA,NA
"3943","RT @jovemnerd: Hoje tem COMBO NerdCast: vamos dar nossa opinião sobre Shang-Chi e Os Eternos dentro de 3 HORAS DE PROGRAMA! Se liga que fic…",FALSE,0,NA,2021-11-20 13:49:07,FALSE,NA,"1462055407472594944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FeiioadaSim",11,TRUE,FALSE,NA,NA
"3944","Me not wishing I had the 10 Rings after watching Shang-Chi",FALSE,0,NA,2021-11-20 13:49:04,FALSE,NA,"1462055396823252995",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","InSpacenauJ",0,FALSE,FALSE,NA,NA
"3945","Sumpah soundtrack Shang-Chi enak bgt nagih.
https://t.co/ariPt5WEwJ",FALSE,0,NA,2021-11-20 13:48:46,FALSE,NA,"1462055319534665732",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","peanatbuhter",0,FALSE,FALSE,NA,NA
"3946","@NewsMarvelPL Shang-Chi",FALSE,1,"NewsMarvelPL",2021-11-20 13:48:30,FALSE,"1462053370840199171","1462055253273198598","1396128652732026881","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MAK3ITRIGHT_",0,FALSE,FALSE,NA,NA
"3947","RT @rosiotigre: Marvel Studios en 2021:

WandaVision: 8/10
The Falcon &amp; TWS: 3/10
Loki: 5/10
Black Widow: 6/10
What If...?: 6/10
Shang-Chi:…",FALSE,0,NA,2021-11-20 13:48:12,FALSE,NA,"1462055177129713665",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Angel_Heaven95",1,TRUE,FALSE,NA,NA
"3948","ga prnh kepikir Tony Leung bakal maen film Marvel ☺️👍🏻 iseng liat trailernya Shang-Chi ""😲 ha..ada Tony Leung!""",FALSE,0,NA,2021-11-20 13:48:11,FALSE,NA,"1462055174508216323",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lant317",0,FALSE,FALSE,NA,NA
"3949","Marvel Studios en 2021:

WandaVision: 8/10
The Falcon &amp; TWS: 3/10
Loki: 5/10
Black Widow: 6/10
What If...?: 6/10
Sh… https://t.co/WyIgkHLfQx",FALSE,8,NA,2021-11-20 13:47:30,TRUE,NA,"1462054999467429893",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rosiotigre",1,FALSE,FALSE,NA,NA
"3950","Angas amarn ng Shang-Chi 💖",FALSE,1,NA,2021-11-20 13:47:23,FALSE,NA,"1462054972799913989",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iamsuperalfaize",0,FALSE,FALSE,NA,NA
"3951","@jovemnerd esperou eu ver shang-chi e eternos pra fazer o podcast, obrigado meus fãs ❤️",FALSE,0,"jovemnerd",2021-11-20 13:46:44,FALSE,NA,"1462054808592990211","8515492","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lamlivia",0,FALSE,FALSE,NA,NA
"3952","¿Qué ver? ""Shang-Chi y la leyenda de los 10 anillos"", ""Indecencia"" y más en streaming. Vía @SabadoShowuru https://t.co/FI3SC11VdQ",FALSE,1,NA,2021-11-20 13:46:01,FALSE,NA,"1462054629206859777",NA,"<a href=""https://www.integromat.com"" rel=""nofollow"">Integromat</a>","elpaisuy",0,FALSE,FALSE,NA,NA
"3953","@Nindi_Jr Before ni lale nitajipiga hizi antidote kwanza;

1. Red Notice
2. No time to die
3. Shang-Chi",FALSE,1,"Nindi_Jr",2021-11-20 13:45:30,FALSE,"1462051146877616142","1462054498826964996","3351964222","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YouKnowTheDriII",0,FALSE,FALSE,NA,NA
"3954","RT @alandubox: Shang-Chi definitivamente é um dos melhores filmes da Marvel. De LONGE.",FALSE,0,NA,2021-11-20 13:45:26,FALSE,NA,"1462054479486926849",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_Peach",39,TRUE,FALSE,NA,NA
"3955","bosen bgt (padahal lagi nnton shang-chi",FALSE,0,"vousmark",2021-11-20 13:43:38,FALSE,"1462053926094585856","1462054027999342593","1318135466764349440","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","vousmark",0,FALSE,FALSE,NA,NA
"3956","RT @2Riv_: Shang-Chi (2021) Destin Daniel Cretton https://t.co/aUb8GvfTFH",FALSE,0,NA,2021-11-20 13:43:11,FALSE,NA,"1462053916024225792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","httpsmuriel",5,TRUE,FALSE,NA,NA
"3957","@NewsMarvelPL eternals, shang-chi i wandavision",FALSE,4,"NewsMarvelPL",2021-11-20 13:43:09,FALSE,"1462053370840199171","1462053907274866689","1396128652732026881","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","seehux",0,FALSE,FALSE,NA,NA
"3958","The kids decided that today evening is going to be a Pizza night (+Shang-Chi). We went from multiple pizza stores a… https://t.co/d2MeYE99DR",FALSE,21,NA,2021-11-20 13:42:56,TRUE,NA,"1462053852463525899",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","beastoftraal",2,FALSE,FALSE,NA,NA
"3959","RT @mewhyun: หนังที่อินจุนดูช่วงนี้คือ shang-chi, venom2, eternal น้องเมนชั่นว่าหนังที่รุ่นพี่มาดงซอกแสดง แล้วก็บอกว่าเป็นหนัง marvel หมดเลย",FALSE,0,NA,2021-11-20 13:42:47,FALSE,NA,"1462053812948983815",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zkdalld",670,TRUE,FALSE,NA,NA
"3960","RT @comfortfbrie: brie larson in shang-chi  https://t.co/iD8UAD75tO",FALSE,0,NA,2021-11-20 13:42:38,FALSE,NA,"1462053776815099909",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sunidhi06709392",471,TRUE,FALSE,NA,NA
"3961","Watched Shang-Chi and the Legend of the Ten Rings (2021)
Will Rate It 7.6/10",FALSE,0,NA,2021-11-20 13:42:02,FALSE,NA,"1462053626919092229",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JCGW10",0,FALSE,FALSE,NA,NA
"3962","@NewsMarvelPL WandaVision/ Shang-Chi",FALSE,1,"NewsMarvelPL",2021-11-20 13:41:52,FALSE,"1462053370840199171","1462053582195372034","1396128652732026881","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zapaleniepluc34",0,FALSE,FALSE,NA,NA
"3963","@AlkorYoutube Fallait vraiment voir shang-chi et Eternals pour se rendre compte de ca ?? 😂",FALSE,1,"AlkorYoutube",2021-11-20 13:41:48,FALSE,"1462017677946458122","1462053566701608962","700758331263090688","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Didierraoul8",0,FALSE,FALSE,NA,NA
"3964","Masa ketiduran nonton Shang-chi sampe 3x lanjut udah kayak nonton series

Apakah ini, tanda-tanda, menua..",FALSE,0,NA,2021-11-20 13:41:12,FALSE,NA,"1462053413768679434",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cappucciyes",0,FALSE,FALSE,NA,NA
"3965","Overall, I really enjoyed SHANG-CHI, and I’m looking forward to seeing the characters again in future MCU movies. W… https://t.co/tZYIvOmjTb",FALSE,1,"Jennifer_Estep",2021-11-20 13:40:39,TRUE,"1462053275470082053","1462053276522881026","140127695","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Jennifer_Estep",0,FALSE,FALSE,NA,NA
"3966","My biggest complaint – and I feel like I say this about every superhero movie – was all the CGI at the end. There w… https://t.co/GXEDvCTCtJ",FALSE,2,"Jennifer_Estep",2021-11-20 13:40:39,TRUE,"1462053274383753217","1462053275470082053","140127695","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Jennifer_Estep",0,FALSE,FALSE,NA,NA
"3967","#WeekendWatch I recently watched SHANG-CHI AND THE LEGEND OF THE TEN RINGS on Disney+: https://t.co/aaxPkwRJPm 
SPO… https://t.co/Ih6mLdg7Oj",FALSE,1,NA,2021-11-20 13:40:38,TRUE,NA,"1462053271951007744",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Jennifer_Estep",0,FALSE,FALSE,NA,NA
"3968","From the heights (@FreeGuyMovie) last night to the absolute depths barely 24 hours later: Shang-Chi and the blahbla… https://t.co/HoTrb0GZ9N",FALSE,2,NA,2021-11-20 13:40:16,TRUE,NA,"1462053181685305344",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","indoors_remain",0,FALSE,FALSE,NA,NA
"3969","RT @dongjusblue: Xionie recently watched jungle cruise, and is explaining that it's a movie made after a disneyland attraction
he also ment…",FALSE,0,NA,2021-11-20 13:40:16,FALSE,NA,"1462053180150272002",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BlueSkyRegulus",35,TRUE,FALSE,NA,NA
"3970","RT @dongjusblue: Xionie recently watched jungle cruise, and is explaining that it's a movie made after a disneyland attraction
he also ment…",FALSE,0,NA,2021-11-20 13:40:09,FALSE,NA,"1462053151847206917",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","myeongisunshine",35,TRUE,FALSE,NA,NA
"3971","am i gonna get in trouble for saying i absolutely loved Eternals and i liked it way more than Shang-Chi",FALSE,1,NA,2021-11-20 13:40:07,FALSE,NA,"1462053141893943296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Danasaarsad",0,FALSE,FALSE,NA,NA
"3972","RT @dongjusblue: Xionie recently watched jungle cruise, and is explaining that it's a movie made after a disneyland attraction
he also ment…",FALSE,0,NA,2021-11-20 13:40:07,FALSE,NA,"1462053141805895681",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fentiarista",35,TRUE,FALSE,NA,NA
"3973","My ★★★★ review of Shang-Chi and the Legend of the Ten Rings on @letterboxd: https://t.co/wkqgXZuZsx",FALSE,0,NA,2021-11-20 13:39:43,FALSE,NA,"1462053042866511878",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thcdefenders",0,FALSE,FALSE,NA,NA
"3974","I have to say Shang-Chi and The Legend of Ten Rings is my least favorite Marvel movie.",FALSE,0,NA,2021-11-20 13:39:36,FALSE,NA,"1462053014487900168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","acetheforeigner",0,FALSE,FALSE,NA,NA
"3975","RT @2Riv_: Shang-Chi (2021) Destin Daniel Cretton https://t.co/aUb8GvfTFH",FALSE,0,NA,2021-11-20 13:39:17,FALSE,NA,"1462052934250905611",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ehohcstmoi",5,TRUE,FALSE,NA,NA
"3976","Ontem assisti Shang-Chi: achei muito bom.",FALSE,5,NA,2021-11-20 13:39:06,FALSE,NA,"1462052887983493132",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","favricius",0,FALSE,FALSE,NA,NA
